Force      Sigma1       Sigma2      Eps1        Eps2        U       RF1     RF2
20.402040204020402 0.9021848654997385 -0.5064897490524848 7.518207212497821e-06 -4.220747908770707e-06 0.00024058263079993028 15.337142713495554 -5.064897490524848
21.002100210021002 0.9287197144850249 -0.5213865063775578 7.739330954041875e-06 -4.3448875531463145e-06 0.00024765859052934 15.788235146245423 -5.213865063775578
21.602160216021602 0.9552545634703113 -0.5362832637026309 7.960454695585928e-06 -4.469027197521924e-06 0.0002547345502587497 16.239327578995294 -5.362832637026309
22.202220222022202 0.9817894124555977 -0.551180021027704 8.181578437129982e-06 -4.593166841897534e-06 0.0002618105099881594 16.69042001174516 -5.51180021027704
22.802280228022802 1.0083242614408843 -0.566076778352777 8.402702178674035e-06 -4.717306486273142e-06 0.0002688864697175691 17.14151244449503 -5.6607677835277705
23.402340234023402 1.0348591104261706 -0.5809735356778502 8.623825920218088e-06 -4.841446130648751e-06 0.00027596242944697883 17.592604877244902 -5.809735356778502
24.002400240024002 1.061393959411457 -0.5958702930029232 8.844949661762142e-06 -4.96558577502436e-06 0.00028303838917638854 18.04369730999477 -5.958702930029232
24.602460246024602 1.0879288083967436 -0.6107670503279963 9.066073403306197e-06 -5.089725419399969e-06 0.0002901143489057983 18.49478974274464 -6.107670503279963
25.202520252025202 1.1144636573820301 -0.6256638076530694 9.28719714485025e-06 -5.213865063775578e-06 0.000297190308635208 18.94588217549451 -6.2566380765306935
25.802580258025802 1.1409985063673163 -0.6405605649781425 9.508320886394302e-06 -5.338004708151188e-06 0.00030426626836461767 19.396974608244378 -6.405605649781425
26.402640264026402 1.1675333553526026 -0.6554573223032156 9.729444627938356e-06 -5.462144352526797e-06 0.0003113422280940274 19.848067040994245 -6.554573223032156
27.002700270027002 1.1940682043378892 -0.6703540796282886 9.95056836948241e-06 -5.586283996902405e-06 0.00031841818782343714 20.299159473744115 -6.703540796282886
27.602760276027603 1.2206030533231758 -0.6852508369533618 1.0171692111026464e-05 -5.710423641278015e-06 0.00032549414755284685 20.750251906493986 -6.852508369533617
28.202820282028203 1.2471379023084619 -0.7001475942784348 1.0392815852570516e-05 -5.834563285653623e-06 0.0003325701072822565 21.201344339243853 -7.001475942784348
28.802880288028803 1.2736727512937485 -0.7150443516035079 1.0613939594114571e-05 -5.9587029300292324e-06 0.00033964606701166627 21.652436771993724 -7.150443516035079
29.402940294029403 1.300207600279035 -0.7299411089285809 1.0835063335658626e-05 -6.08284257440484e-06 0.00034672202674107603 22.103529204743595 -7.299411089285809
30.003000300030003 1.3267424492643212 -0.744837866253654 1.1056187077202676e-05 -6.20698221878045e-06 0.00035379798647048563 22.55462163749346 -7.44837866253654
30.603060306030603 1.3532772982496077 -0.7597346235787271 1.1277310818746731e-05 -6.3311218631560595e-06 0.0003608739461998954 23.005714070243332 -7.597346235787271
31.203120312031203 1.3798121472348943 -0.7746313809038001 1.1498434560290786e-05 -6.455261507531667e-06 0.00036794990592930516 23.456806502993203 -7.746313809038002
31.803180318031803 1.4063469962201807 -0.7895281382288732 1.171955830183484e-05 -6.579401151907277e-06 0.00037502586565871487 23.90789893574307 -7.895281382288733
32.4032403240324 1.4328818452054668 -0.8044248955539464 1.194068204337889e-05 -6.703540796282887e-06 0.00038210182538812447 24.358991368492937 -8.044248955539464
33.003300330033 1.4594166941907531 -0.8193216528790194 1.2161805784922943e-05 -6.8276804406584945e-06 0.0003891777851175342 24.810083801242804 -8.193216528790193
